[2022-05-04 23:01:25,079] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 23:01:25,079] - logger.py] - INFO: 用例标题：验证登录接口请求成功
[2022-05-04 23:01:25,117] - logger.py] - INFO: 接口请求成功
[2022-05-04 23:01:25,118] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 23:01:25,118] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 23:01:25,119] - logger.py] - INFO: 响应体状态码断言成功，状态码为200
[2022-05-04 23:01:25,119] - logger.py] - INFO: 验证接口登录成功
[2022-05-04 23:01:25,119] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 23:01:25,120] - logger.py] - INFO: ----------
[2022-05-04 23:01:25,120] - logger.py] - INFO: ----------
[2022-05-04 23:01:25,120] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 23:01:25,121] - logger.py] - INFO: 用例标题：验证用户名错误请求失败
[2022-05-04 23:01:25,135] - logger.py] - INFO: 接口请求成功
[2022-05-04 23:01:25,135] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 23:01:25,136] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 23:01:25,136] - logger.py] - INFO: 响应体状态码断言成功，状态码为200
[2022-05-04 23:01:25,136] - logger.py] - INFO: 验证用户名错误请求失败成功
[2022-05-04 23:01:25,137] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 23:01:25,137] - logger.py] - INFO: ----------
[2022-05-04 23:01:44,250] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 23:01:44,251] - logger.py] - INFO: 用例标题：验证登录接口请求成功
[2022-05-04 23:01:44,292] - logger.py] - INFO: 接口请求成功
[2022-05-04 23:01:44,293] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 23:01:44,293] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 23:01:44,294] - logger.py] - INFO: 响应体状态码断言成功，状态码为200
[2022-05-04 23:01:44,294] - logger.py] - INFO: 验证接口登录成功
[2022-05-04 23:01:44,294] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 23:01:44,295] - logger.py] - INFO: ----------
[2022-05-04 23:01:44,295] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 23:01:44,295] - logger.py] - INFO: 用例标题：验证用户名错误请求失败
[2022-05-04 23:01:44,306] - logger.py] - INFO: 接口请求成功
[2022-05-04 23:01:44,307] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 23:01:44,307] - logger.py] - INFO: 响应体msg信息断言成功
